,Store_Number,Transaction_Count,Sales,Quantity,Gross_Margin,ADS,UPT,AUR,Cluster
0,1,42505,591831.4244604298,106043,481189.9091604308,13.923807186458765,2.4948359016586283,5.581051313716415,0
1,4,46299,643597.0503597107,115546,515963.64375971095,13.900884476116346,2.4956478541653166,5.570050459208546,0
2,7,37356,498364.5179856104,88184,407890.78348561045,13.340949726566292,2.360638183959739,5.651416560664184,0
3,13,26687,409337.94244604214,81122,328704.8621460423,15.338477252821304,3.039757185146326,5.045954764996451,1
4,16,28508,353614.7050359705,63854,294198.5901359706,12.404051670968517,2.239862494738319,5.537863016192729,1
5,22,57409,848084.9352517964,153131,690557.9679517973,14.772682597707613,2.6673692278214216,5.538296852053447,0
6,23,35937,510185.1654676243,93269,417617.11036762485,14.196654296898025,2.5953474135292316,5.470040050473623,0
7,24,40459,592964.3741007182,103432,485059.04040071834,14.655932526773231,2.556464569069923,5.732890924479061,0
8,25,18948,240948.5611510788,41606,195646.19325107883,12.716305739448954,2.1957990289212583,5.791197451114714,1
9,27,29969,410694.2446043155,75757,328180.104104316,13.703968921362591,2.527845440288298,5.421205229936712,1
10,30,35751,517221.7985611498,88068,417151.66046114964,14.467337936313664,2.46337165393975,5.872982224657648,0
11,31,26219,415721.05035971117,69406,331100.39455971174,15.855717241683937,2.647164270185743,5.989699022558729,0
12,33,30507,440276.4028776971,72678,353567.9809776974,14.431979640007116,2.382338479693185,6.057904770050044,0
13,35,29358,429361.10791366815,77733,348259.4296136682,14.625012191350505,2.6477621091354995,5.523537080952339,1
14,38,33038,465266.4604316538,85276,371538.10203165386,14.082767129718922,2.5811489799624674,5.456007087945657,1
15,41,20820,278935.94244604267,51398,225225.6571460428,13.397499637177841,2.468683957732949,5.42698047484421,1
16,44,54608,816297.5107913653,147695,669258.7273913654,14.948313631544194,2.7046403457368884,5.526913644953217,0
17,46,35836,474821.669064747,81595,386386.07006474736,13.249851240784324,2.2769003236968413,5.819249574909578,0
18,51,37719,538311.4676258978,93681,440331.6096258986,14.271626173172615,2.483655452159389,5.7462182046081685,0
19,52,23696,303324.0575539562,58085,245783.94135395647,12.800643887320907,2.4512575962187713,5.222072093551799,1
20,53,35572,526727.035971222,84188,426488.292371222,14.807349487552624,2.366692904531654,6.256557181204233,0
21,54,21988,314660.2302158269,54675,251376.2484158269,14.310543488076537,2.4865835910496634,5.75510251880799,1
22,56,42529,614492.4460431646,111960,498421.8399431644,14.448786617206249,2.6325566084318934,5.488499875340877,0
23,57,33468,477636.1007194233,78787,388148.21471942356,14.271426458689593,2.3540994382693916,6.062371974049315,0
24,58,45267,635934.7338129481,113342,521401.5352129481,14.048528371947514,2.5038549053394306,5.610759769661274,0
25,62,24785,354135.23741007136,72011,281285.13111007115,14.288288779910081,2.9054266693564657,4.9177936344457285,1
26,66,32641,435021.3669064738,71344,357506.21130647376,13.327452189163132,2.1857173493459148,6.097518598711508,0
27,68,25677,367714.6618705028,66431,288972.94677050295,14.320779758947806,2.5871791875997974,5.535287168197119,1
28,69,20750,282031.1079136686,58389,218199.79041366852,13.591860622345475,2.8139277108433736,4.830209592794338,1
29,77,26120,386648.0287769776,67094,301361.32987697766,14.802757610144626,2.5686830015313937,5.762781005409987,1
30,80,43739,607193.1654676242,109370,496074.58256762475,13.882191304502257,2.5005144150529275,5.551734163551469,0
31,82,22188,305455.4244604312,57844,246174.3642604311,13.766694810727925,2.606994771948801,5.280676033131028,1
32,83,14852,221702.58992805725,38752,175209.10812805747,14.92745690331654,2.6092108806894694,5.721061878820635,1
33,84,15965,219872.86330935216,39600,178071.04870935233,13.77218060190117,2.48042593172565,5.552345033064449,1
34,85,39910,542767.7266187037,93876,439543.9242187036,13.599792699040433,2.352192432974192,5.781751742923683,0
35,87,33191,459028.7625899266,79198,368216.08758992737,13.82991662167234,2.3861287698472475,5.795964072197866,0
36,88,30575,420821.45323740895,72285,340948.76533740934,13.763579827879278,2.364186426819297,5.82169818409641,0
37,89,28579,398546.17266186944,71777,319472.42376186966,13.945420506731146,2.5115294446971554,5.552561024588231,1
38,90,26268,367579.26618704933,61414,298813.65218704945,13.993424173406781,2.337977767626009,5.985268280637141,1
39,91,41566,643752.1007194229,102847,518512.7281194233,15.487468140293098,2.4743059231102342,6.259318217540842,0
