,Store_Number,Transaction_Count,Sales,Quantity,Gross_Margin,ADS,UPT,AUR,Cluster
0,9001,87040,1019689.0299999996,220752,803379.5199000001,11.715177274816172,2.5362132352941176,4.619161004203811,2
1,9005,52687,572395.45,126514,450208.7240999996,10.864073680414522,2.4012374969157477,4.5243644972097945,1
2,9006,51297,559075.7499999999,127525,445105.74179999984,10.898800124763628,2.4860128272608533,4.38404822583807,0
3,9007,79060,940794.7400000005,212738,731721.0078000008,11.899756387553762,2.6908423981785985,4.422316370371069,2
4,9008,33957,352840.53,74695,280254.2059999999,10.390803957946815,2.199693730305975,4.723750317959703,1
5,9009,32089,326968.02999999997,81572,246591.35699999984,10.1894116363863,2.5420549097821685,4.008336561565242,0
6,9013,67798,724144.6200000002,155504,567343.3819999998,10.680914186259185,2.293636980441901,4.65675879720136,2
7,9016,50161,520979.72999999986,107757,412336.0072999995,10.386151193158028,2.1482227228324793,4.834764609259722,1
8,9018,46116,463070.98999999976,104570,369287.6286000006,10.041438763119086,2.2675427183623906,4.428334990915174,1
9,9019,32849,368793.63,79829,289505.552,11.226936284209565,2.430180522999178,4.6197951872126675,1
10,9020,36307,359373.01999999984,84145,281132.5802999998,9.898174456716331,2.3175971575729197,4.270877889357655,1
11,9022,66664,761417.53,173214,603527.9125000003,11.421719818792752,2.598313932557302,4.395819795166672,2
12,9024,102937,1220254.5400000005,261540,954003.4206000002,11.854382194934772,2.540777368681815,4.66565167851954,2
13,9025,80920,904453.1999999995,194664,716446.1226999991,11.177128027681654,2.4056351952545723,4.6462273455800736,2
14,9028,87006,934347.0699999993,193938,739709.6089999994,10.73888088177826,2.2290186883663194,4.817761707349768,2
15,9029,33142,362173.8000000003,83089,281456.0862000003,10.9279403777684,2.5070605274274333,4.358865794509505,0
16,9030,40775,444061.55000000016,101079,345150.28829999955,10.890534641324345,2.4789454322501534,4.393212734593735,0
17,9031,44039,468770.6099999998,100324,370167.10539999977,10.644442653102928,2.2780717091668747,4.672566982975159,1
18,9032,85367,910408.5600000003,189851,711151.1347,10.664642777654132,2.2239389928192392,4.795384591074054,2
19,9033,47458,496526.2799999999,108997,391996.39329999965,10.462435838004128,2.296704454465001,4.555412350798645,1
20,9034,19831,197546.36999999997,49508,149169.74750000023,9.961493116837273,2.4964953860117998,3.9901908782418998,0
21,9035,46179,495924.5199999999,110099,388730.3783000002,10.7391784144308,2.384178955802421,4.504350811542338,1
