,Store_Number,Transaction_Count,Sales,Quantity,Gross_Margin,ADS,UPT,AUR,Cluster
0,8003,74189,764591.07,187995,593538.2604999999,10.305989701977381,2.5340009974524524,4.067081943668715,2
1,8005,52499,570174.5500000005,138303,430527.6676,10.860674489037896,2.63439303605783,4.12264773721467,0
2,8006,86057,1037936.0700000003,264628,776135.0190000004,12.06103013119212,3.075031665059205,3.92224583188476,2
3,8007,102571,1306899.9400000018,310530,996529.5075999995,12.741417554669466,3.02746390305252,4.208610891057231,2
4,8009,79206,882755.1299999998,208542,678287.895500001,11.145053783804254,2.6329065979850013,4.232984866357855,2
5,8013,62006,734831.6299999993,178255,555136.8323999997,11.850976195852002,2.874802438473696,4.122361953381388,2
6,8015,86921,1059073.7599999995,234461,801495.3516,12.184325536981852,2.697403389284523,4.517057250459563,2
7,8016,45250,517813.02999999974,127350,389282.4435,11.443381878453033,2.8143646408839778,4.066062269336472,0
8,8022,40484,438682.4899999998,107892,327036.99409999966,10.835947287817405,2.66505286038929,4.065940848255662,0
9,8024,59714,585552.66,146296,455242.06510000024,9.805952707907695,2.449944736577687,4.002519959534095,0
10,8025,58326,581158.6299999994,140727,447137.4036999998,9.96397198504954,2.412766176319309,4.129688190610184,0
11,8026,59755,618179.9999999997,141795,474834.84119999973,10.345243075893224,2.3729395029704627,4.359674177509783,0
12,8028,35704,361307.2400000001,87526,272991.2358999997,10.119517140936592,2.4514340129957426,4.127998994584468,0
13,8031,64054,690625.91,168948,538234.5381,10.781932588128766,2.637587035938427,4.0878016312711605,0
14,8033,52839,603383.9999999998,149449,463086.85259999946,11.41929256798955,2.8283843373265958,4.037390681771037,0
15,8034,50867,614956.8399999993,156656,455782.33709999983,12.089504786993517,3.0797176951658245,3.925523695230309,0
16,8037,33990,360453.1599999999,95338,278591.1958999999,10.60468255369226,2.804883789349809,3.7807921290566187,0
17,8045,96325,1078198.9199999988,263540,837616.6830999998,11.193344614586024,2.7359460160913573,4.091215451164904,2
18,8047,56772,565198.0600000002,137106,434551.8428999999,9.955577749594873,2.415028535193405,4.1223437340451925,0
19,8048,47920,490813.1000000001,127236,375705.17740000034,10.242343489148583,2.655175292153589,3.857501807664498,0
20,8054,75780,846604.7099999995,208654,663504.9552000001,11.171875296912107,2.753417788334653,4.057457369616683,2
21,8055,34301,403489.6100000002,97792,301648.2890000003,11.763202530538475,2.8509955977959827,4.12599813890707,0
22,8057,43051,432589.2200000002,103288,335986.7538999998,10.048296671389751,2.3992009477131773,4.188184687475798,0
23,8058,48072,528036.0500000005,125439,396557.4087000003,10.984274629722094,2.609398402396405,4.209504619775353,0
24,8061,101085,1084361.9700000002,252629,835644.5058000006,10.727229262501856,2.4991739625068012,4.292309948580726,2
25,8062,86675,1179190.2800000007,260657,892124.0451000006,13.604733544851465,3.007291606576291,4.523915643930533,2
26,8065,48461,525249.0300000003,131173,395832.2656,10.838592476424347,2.7067745197168858,4.004246529392484,0
27,8066,61641,652344.14,160380,493823.8260000002,10.582958420531789,2.6018396846254928,4.0674905848609555,0
28,8072,50629,510216.3199999999,119148,396367.03220000025,10.077550810800131,2.3533547966580417,4.282206331621176,0
29,8075,57164,578518.7300000002,134869,436542.0738999998,10.120333251696875,2.3593345462178994,4.289486316351424,0
